"species","n","rank"
3340,1,1
3880,1,2
3940,1,3
4440,1,4
4660,1,5
5140,1,6
5630,1,7
6170,1,8
6270,1,9
6290,1,10
6540,1,11
6590,1,12
6670,1,13
6760,1,14
3930,2,15
4020,2,16
4120,2,17
5070,2,18
5950,2,19
5980,2,20
6280,2,21
6710,2,22
6882,2,23
6140,3,24
6190,3,25
6520,3,26
6550,3,27
7030,3,28
7270,3,29
4520,4,30
4610,4,31
4980,4,32
5290,4,33
5870,4,34
6130,4,35
6410,4,36
4950,5,37
5810,5,38
6080,5,39
7590,6,40
4560,7,41
5930,7,42
6160,7,43
6360,7,44
4770,8,45
6810,8,46
7310,8,47
4930,11,48
5110,11,49
5600,11,50
7350,13,51
7040,14,52
7560,14,53
4230,15,54
7550,17,55
3160,19,56
6870,19,57
5190,23,58
6740,24,59
6240,25,60
4880,43,61
7610,56,62
